state,move
__________________________________________,3
______________________________________X___,3
_______________________________O______X___,2
_______________________________O_____XX___,4
_______________________________O_____XXO__,1
_______________________________O____XXXO__,0
_______________________________O___OXXXO__,4
_______________________________OX__OXXXO__,3
________________________O______OX__OXXXO__,3
_________________X______O______OX__OXXXO__,0
_________________X______O___O__OX__OXXXO__,2
_________________X______O___O_XOX__OXXXO__,2
_________________X_____OO___O_XOX__OXXXO__,4
_________________X_____OOX__O_XOX__OXXXO__,4
_________________XO____OOX__O_XOX__OXXXO__,0
_________________XO__X_OOX__O_XOX__OXXXO__,0
______________O__XO__X_OOX__O_XOX__OXXXO__,6
______________O__XO__X_OOX__O_XOX__OXXXO_X,1
______________O__XO__X_OOX__OOXOX__OXXXO_X,2
______________O_XXO__X_OOX__OOXOX__OXXXO_X,6
______________O_XXO__X_OOX__OOXOX_OOXXXO_X,6
______________O_XXO__X_OOX_XOOXOX_OOXXXO_X,0
_______O______O_XXO__X_OOX_XOOXOX_OOXXXO_X,3
_______O__X___O_XXO__X_OOX_XOOXOX_OOXXXO_X,6
_______O__X___O_XXO_OX_OOX_XOOXOX_OOXXXO_X,2
_______O_XX___O_XXO_OX_OOX_XOOXOX_OOXXXO_X,3
___O___O_XX___O_XXO_OX_OOX_XOOXOX_OOXXXO_X,0
X__O___O_XX___O_XXO_OX_OOX_XOOXOX_OOXXXO_X,2
X_OO___O_XX___O_XXO_OX_OOX_XOOXOX_OOXXXO_X,4
X_OO___O_XXX__O_XXO_OX_OOX_XOOXOX_OOXXXO_X,4
X_OOO__O_XXX__O_XXO_OX_OOX_XOOXOX_OOXXXO_X,5
X_OOO__O_XXX__O_XXO_OX_OOX_XOOXOX_OOXXXOXX,5
X_OOO__O_XXX__O_XXO_OX_OOX_XOOXOXOOOXXXOXX,5
X_OOO__O_XXX__O_XXO_OX_OOXXXOOXOXOOOXXXOXX,6
X_OOO__O_XXX_OO_XXO_OX_OOXXXOOXOXOOOXXXOXX,6
X_OOO_XO_XXX_OO_XXO_OX_OOXXXOOXOXOOOXXXOXX,1
X_OOO_XO_XXX_OO_XXO_OXOOOXXXOOXOXOOOXXXOXX,1
X_OOO_XO_XXX_OOXXXO_OXOOOXXXOOXOXOOOXXXOXX,1
X_OOO_XOOXXX_OOXXXO_OXOOOXXXOOXOXOOOXXXOXX,1
__________________________________________,3
______________________________________X___,2
_____________________________________OX___,6
_____________________________________OX__X,5
_____________________________________OX_OX,2
______________________________X______OX_OX,3
______________________________XO_____OX_OX,3
________________________X_____XO_____OX_OX,2
